#Prueba,Alcance o Purview (t+1),Mecanismo(t)
1,ABCDEFGHIJ,ABCDEFGHIJ
2,ABCDEFGHIJ,ABCDEFGHI
3,ABCDEFGHIJ,BCDEFGHIJ
4,ABCDEFGHIJ,BCDEFGHI
5,ABCDEFGHIJ,ABDEGHJ
6,ABCDEFGHIJ,ACEGI
7,ABCDEFGHIJ,BDFHJ
8,ABCDEFGHI,ABCDEFGHIJ
9,ABCDEFGHI,ABCDEFGHI
10,ABCDEFGHI,BCDEFGHIJ
11,ABCDEFGHI,BCDEFGHI
12,ABCDEFGHI,ABDEGHJ
13,ABCDEFGHI,ACEGI
14,ABCDEFGHI,BDFHJ
15,BCDEFGHIJ,ABCDEFGHIJ
16,BCDEFGHIJ,ABCDEFGHI
17,BCDEFGHIJ,BCDEFGHIJ
18,BCDEFGHIJ,BCDEFGHI
19,BCDEFGHIJ,ABDEGHJ
20,BCDEFGHIJ,ACEGI
21,BCDEFGHIJ,BDFHJ
22,BCDEFGHI,ABCDEFGHIJ
23,BCDEFGHI,ABCDEFGHI
24,BCDEFGHI,BCDEFGHIJ
25,BCDEFGHI,BCDEFGHI
26,BCDEFGHI,ABDEGHJ
27,BCDEFGHI,ACEGI
28,BCDEFGHI,BDFHJ
29,ABDEGHJ,ABCDEFGHIJ
30,ABDEGHJ,ABCDEFGHI
31,ABDEGHJ,BCDEFGHIJ
32,ABDEGHJ,BCDEFGHI
33,ABDEGHJ,ABDEGHJ
34,ABDEGHJ,ACEGI
35,ABDEGHJ,BDFHJ
36,ACEGI,ABCDEFGHIJ
37,ACEGI,ABCDEFGHI
38,ACEGI,BCDEFGHIJ
39,ACEGI,BCDEFGHI
40,ACEGI,ABDEGHJ
41,ACEGI,ACEGI
42,ACEGI,BDFHJ
43,BDFHJ,ABCDEFGHIJ
44,BDFHJ,ABCDEFGHI
45,BDFHJ,BCDEFGHIJ
46,BDFHJ,BCDEFGHI
47,BDFHJ,ABDEGHJ
48,BDFHJ,ACEGI
49,BDFHJ,BDFHJ
