#Prueba,Alcance o Purview (t+1),Mecanismo(t)
1,ABCDEFGHIJKLMNOPQRSTUV,ABCDEFGHIJKLMNOPQRSTUV
2,ABCDEFGHIJKLMNOPQRSTUV,ABCDEFGHIJKLMNOPQRSTU
3,ABCDEFGHIJKLMNOPQRSTUV,BCDEFGHIJKLMNOPQRSTUV
4,ABCDEFGHIJKLMNOPQRSTUV,BCDEFGHIJKLMNOPQRSTU
5,ABCDEFGHIJKLMNOPQRSTUV,ABDEGHJKMNPQSTV
6,ABCDEFGHIJKLMNOPQRSTUV,ACEGIKMOQSU
7,ABCDEFGHIJKLMNOPQRSTUV,BDFHJLNPRTV
8,ABCDEFGHIJKLMNOPQRSTU,ABCDEFGHIJKLMNOPQRSTUV
9,ABCDEFGHIJKLMNOPQRSTU,ABCDEFGHIJKLMNOPQRSTU
10,ABCDEFGHIJKLMNOPQRSTU,BCDEFGHIJKLMNOPQRSTUV
11,ABCDEFGHIJKLMNOPQRSTU,BCDEFGHIJKLMNOPQRSTU
12,ABCDEFGHIJKLMNOPQRSTU,ABDEGHJKMNPQSTV
13,ABCDEFGHIJKLMNOPQRSTU,ACEGIKMOQSU
14,ABCDEFGHIJKLMNOPQRSTU,BDFHJLNPRTV
15,BCDEFGHIJKLMNOPQRSTUV,ABCDEFGHIJKLMNOPQRSTUV
16,BCDEFGHIJKLMNOPQRSTUV,ABCDEFGHIJKLMNOPQRSTU
17,BCDEFGHIJKLMNOPQRSTUV,BCDEFGHIJKLMNOPQRSTUV
18,BCDEFGHIJKLMNOPQRSTUV,BCDEFGHIJKLMNOPQRSTU
19,BCDEFGHIJKLMNOPQRSTUV,ABDEGHJKMNPQSTV
20,BCDEFGHIJKLMNOPQRSTUV,ACEGIKMOQSU
21,BCDEFGHIJKLMNOPQRSTUV,BDFHJLNPRTV
22,BCDEFGHIJKLMNOPQRSTU,ABCDEFGHIJKLMNOPQRSTUV
23,BCDEFGHIJKLMNOPQRSTU,ABCDEFGHIJKLMNOPQRSTU
24,BCDEFGHIJKLMNOPQRSTU,BCDEFGHIJKLMNOPQRSTUV
25,BCDEFGHIJKLMNOPQRSTU,BCDEFGHIJKLMNOPQRSTU
26,BCDEFGHIJKLMNOPQRSTU,ABDEGHJKMNPQSTV
27,BCDEFGHIJKLMNOPQRSTU,ACEGIKMOQSU
28,BCDEFGHIJKLMNOPQRSTU,BDFHJLNPRTV
29,ABDEGHJKMNPQSTV,ABCDEFGHIJKLMNOPQRSTUV
30,ABDEGHJKMNPQSTV,ABCDEFGHIJKLMNOPQRSTU
31,ABDEGHJKMNPQSTV,BCDEFGHIJKLMNOPQRSTUV
32,ABDEGHJKMNPQSTV,BCDEFGHIJKLMNOPQRSTU
33,ABDEGHJKMNPQSTV,ABDEGHJKMNPQSTV
34,ABDEGHJKMNPQSTV,ACEGIKMOQSU
35,ABDEGHJKMNPQSTV,BDFHJLNPRTV
36,ACEGIKMOQSU,ABCDEFGHIJKLMNOPQRSTUV
37,ACEGIKMOQSU,ABCDEFGHIJKLMNOPQRSTU
38,ACEGIKMOQSU,BCDEFGHIJKLMNOPQRSTUV
39,ACEGIKMOQSU,BCDEFGHIJKLMNOPQRSTU
40,ACEGIKMOQSU,ABDEGHJKMNPQSTV
41,ACEGIKMOQSU,ACEGIKMOQSU
42,ACEGIKMOQSU,BDFHJLNPRTV
43,BDFHJLNPRTV,ABCDEFGHIJKLMNOPQRSTUV
44,BDFHJLNPRTV,ABCDEFGHIJKLMNOPQRSTU
45,BDFHJLNPRTV,BCDEFGHIJKLMNOPQRSTUV
46,BDFHJLNPRTV,BCDEFGHIJKLMNOPQRSTU
47,BDFHJLNPRTV,ABDEGHJKMNPQSTV
48,BDFHJLNPRTV,ACEGIKMOQSU
49,BDFHJLNPRTV,BDFHJLNPRTV
50,ACDEFGHIJKLMNOPQRST,ACDEFGHIJKLMNOPQRST
