#Prueba,Alcance o Purview (t+1),Mecanismo(t)
1,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRST
2,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRS
3,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRST
4,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRS
5,ABCDEFGHIJKLMNOPQRST,ABDEGHJKMNPQST
6,ABCDEFGHIJKLMNOPQRST,ACEGIKMOQS
7,ABCDEFGHIJKLMNOPQRST,BDFHJLNPRT
8,ABCDEFGHIJKLMNOPQRS,ABCDEFGHIJKLMNOPQRST
9,ABCDEFGHIJKLMNOPQRS,ABCDEFGHIJKLMNOPQRS
10,ABCDEFGHIJKLMNOPQRS,BCDEFGHIJKLMNOPQRST
11,ABCDEFGHIJKLMNOPQRS,BCDEFGHIJKLMNOPQRS
12,ABCDEFGHIJKLMNOPQRS,ABDEGHJKMNPQST
13,ABCDEFGHIJKLMNOPQRS,ACEGIKMOQS
14,ABCDEFGHIJKLMNOPQRS,BDFHJLNPRT
15,BCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRST
16,BCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRS
17,BCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRST
18,BCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRS
19,BCDEFGHIJKLMNOPQRST,ABDEGHJKMNPQST
20,BCDEFGHIJKLMNOPQRST,ACEGIKMOQS
21,BCDEFGHIJKLMNOPQRST,BDFHJLNPRT
22,BCDEFGHIJKLMNOPQRS,ABCDEFGHIJKLMNOPQRST
23,BCDEFGHIJKLMNOPQRS,ABCDEFGHIJKLMNOPQRS
24,BCDEFGHIJKLMNOPQRS,BCDEFGHIJKLMNOPQRST
25,BCDEFGHIJKLMNOPQRS,BCDEFGHIJKLMNOPQRS
26,BCDEFGHIJKLMNOPQRS,ABDEGHJKMNPQST
27,BCDEFGHIJKLMNOPQRS,ACEGIKMOQS
28,BCDEFGHIJKLMNOPQRS,BDFHJLNPRT
29,ABDEGHJKMNPQST,ABCDEFGHIJKLMNOPQRST
30,ABDEGHJKMNPQST,ABCDEFGHIJKLMNOPQRS
31,ABDEGHJKMNPQST,BCDEFGHIJKLMNOPQRST
32,ABDEGHJKMNPQST,BCDEFGHIJKLMNOPQRS
33,ABDEGHJKMNPQST,ABDEGHJKMNPQST
34,ABDEGHJKMNPQST,ACEGIKMOQS
35,ABDEGHJKMNPQST,BDFHJLNPRT
36,ACEGIKMOQS,ABCDEFGHIJKLMNOPQRST
37,ACEGIKMOQS,ABCDEFGHIJKLMNOPQRS
38,ACEGIKMOQS,BCDEFGHIJKLMNOPQRST
39,ACEGIKMOQS,BCDEFGHIJKLMNOPQRS
40,ACEGIKMOQS,ABDEGHJKMNPQST
41,ACEGIKMOQS,ACEGIKMOQS
42,ACEGIKMOQS,BDFHJLNPRT
43,BDFHJLNPRT,ABCDEFGHIJKLMNOPQRST
44,BDFHJLNPRT,ABCDEFGHIJKLMNOPQRS
45,BDFHJLNPRT,BCDEFGHIJKLMNOPQRST
46,BDFHJLNPRT,BCDEFGHIJKLMNOPQRS
47,BDFHJLNPRT,ABDEGHJKMNPQST
48,BDFHJLNPRT,ACEGIKMOQS
49,BDFHJLNPRT,BDFHJLNPRT
50,BCDEFGJKLMNO,BCDEFGHIJKLMNO
