#Prueba,Alcance o Purview (t+1),Mecanismo(t)
1,	ABCDEFGHIJKLMNO,ABCDEFGHIJKLMNO
2,	ABCDEFGHIJKLMNO,ABCDEFGHIJKLMN
3,	ABCDEFGHIJKLMNO,BCDEFGHIJKLMNO
4,	ABCDEFGHIJKLMNO,BCDEFGHIJKLMN
5,	ABCDEFGHIJKLMNO,ABDEGHJKMN
6,	ABCDEFGHIJKLMNO,ACEGIKMO
7,	ABCDEFGHIJKLMNO,BDFHJLN
8,	ABCDEFGHIJKLMN,ABCDEFGHIJKLMNO
9,	ABCDEFGHIJKLMN,ABCDEFGHIJKLMN
10,	ABCDEFGHIJKLMN,BCDEFGHIJKLMNO
11,	ABCDEFGHIJKLMN,BCDEFGHIJKLMN
12,	ABCDEFGHIJKLMN,ABDEGHJKMN
13,	ABCDEFGHIJKLMN,ACEGIKMO
14,	ABCDEFGHIJKLMN,BDFHJLN
15,	BCDEFGHIJKLMNO,ABCDEFGHIJKLMNO
16,	BCDEFGHIJKLMNO,ABCDEFGHIJKLMN
17,	BCDEFGHIJKLMNO,BCDEFGHIJKLMNO
18,	BCDEFGHIJKLMNO,BCDEFGHIJKLMN
19,	BCDEFGHIJKLMNO,ABDEGHJKMN
20,	BCDEFGHIJKLMNO,ACEGIKMO
21,	BCDEFGHIJKLMNO,BDFHJLN
22,	BCDEFGHIJKLMN,ABCDEFGHIJKLMNO
23,	BCDEFGHIJKLMN,ABCDEFGHIJKLMN
24,	BCDEFGHIJKLMN,BCDEFGHIJKLMNO
25,	BCDEFGHIJKLMN,BCDEFGHIJKLMN
26,	BCDEFGHIJKLMN,ABDEGHJKMN
27,	BCDEFGHIJKLMN,ACEGIKMO
28,	BCDEFGHIJKLMN,BDFHJLN
29,	ABDEGHJKMN,ABCDEFGHIJKLMNO
30,	ABDEGHJKMN,ABCDEFGHIJKLMN
31,	ABDEGHJKMN,BCDEFGHIJKLMNO
32,	ABDEGHJKMN,BCDEFGHIJKLMN
33,	ABDEGHJKMN,ABDEGHJKMN
34,	ABDEGHJKMN,ACEGIKMO
35,	ABDEGHJKMN,BDFHJLN
36,	ACEGIKMO,ABCDEFGHIJKLMNO
37,	ACEGIKMO,ABCDEFGHIJKLMN
38,	ACEGIKMO,BCDEFGHIJKLMNO
39,	ACEGIKMO,BCDEFGHIJKLMN
40,	ACEGIKMO,ABDEGHJKMN
41,	ACEGIKMO,ACEGIKMO
42,	ACEGIKMO,BDFHJLN
43,	BDFHJLN,ABCDEFGHIJKLMNO
44,	BDFHJLN,ABCDEFGHIJKLMN
45,	BDFHJLN,BCDEFGHIJKLMNO
46,	BDFHJLN,BCDEFGHIJKLMN
47,	BDFHJLN,ABDEGHJKMN
48,	BDFHJLN,ACEGIKMO
49,	BDFHJLN,BDFHJLN
50,	BCDEFGJKLMNO,BCDEFGHIJKLMNO
