0.581169,0.324772,0.709705,0.514982,0.555409,0.606113,0.337504,0.680780,0.432288,0.294430
0.631593,0.714268,0.235529,0.617989,0.328631,0.792821,0.206544,0.377147,0.219407,0.653220
0.289906,0.780699,0.211089,0.219536,0.384312,0.715323,0.359752,0.167934,0.319017,0.574249
0.612097,0.248422,0.689575,0.765161,0.278368,0.378537,0.260369,0.637807,0.309949,0.514675
0.217270,0.306133,0.630490,0.528792,0.734335,0.215109,0.371384,0.279736,0.832442,0.581589
0.810003,0.741754,0.284670,0.351285,0.386927,0.393889,0.294028,0.515274,0.253118,0.315413
0.677658,0.231116,0.577405,0.600915,0.535929,0.458054,0.503287,0.159635,0.793855,0.814738
0.611007,0.616682,0.776974,0.377965,0.765630,0.303974,0.556659,0.523222,0.254095,0.427559
0.578102,0.448720,0.646702,0.220950,0.644110,0.152209,0.220336,0.751204,0.777691,0.786158
0.662088,0.306476,0.594463,0.323350,0.410575,0.494083,0.725354,0.711398,0.303916,0.785092
0.479801,0.654150,0.215519,0.774023,0.347311,0.150275,0.259682,0.556332,0.647928,0.608235
0.596982,0.255298,0.510076,0.310359,0.231991,0.417933,0.669004,0.759034,0.328432,0.514839
0.364924,0.443358,0.747415,0.402882,0.242254,0.358449,0.513297,0.360578,0.785070,0.483124
0.669030,0.433902,0.648958,0.755863,0.501564,0.104837,0.512518,0.597899,0.698362,0.547474
0.558252,0.540934,0.707190,0.557098,0.344253,0.289977,0.396848,0.595396,0.788809,0.732408
0.485992,0.378762,0.395545,0.445846,0.616637,0.317848,0.612552,0.824171,0.506255,0.808652
0.717225,0.255618,0.267715,0.406116,0.446965,0.495705,0.693051,0.706234,0.790841,0.484952
0.687493,0.330055,0.583458,0.200028,0.361644,0.207094,0.553594,0.294158,0.209805,0.635339
0.258192,0.209405,0.350722,0.723273,0.476897,0.526598,0.628972,0.197125,0.291013,0.399350
0.568013,0.532293,0.709362,0.699795,0.223327,0.744785,0.442900,0.692310,0.169234,0.570501
0.206935,0.296557,0.275788,0.394541,0.124908,0.229287,0.802732,0.771447,0.930296,0.573585
0.605306,0.426168,0.611863,0.433453,0.483054,0.675311,0.434466,0.762234,0.688145,0.515780
0.568911,0.675832,0.496182,0.292451,0.524774,0.579954,0.443552,0.690298,0.601366,0.461810
0.666700,0.760950,0.709679,0.361809,0.214950,0.402668,0.502793,0.280824,0.565988,0.730374
0.261374,0.786825,0.679291,0.648790,0.363689,0.593595,0.532683,0.809061,0.356381,0.586390
0.551291,0.346680,0.499049,0.524439,0.148729,0.329110,0.503372,0.530146,0.408119,0.535000
0.649828,0.746278,0.681387,0.674126,0.407545,0.572356,0.837555,0.396278,0.758113,0.419231
0.672746,0.349239,0.717383,0.597818,0.455440,0.290877,0.434626,0.579127,0.163628,0.758216
0.534964,0.478867,0.255572,0.782017,0.378756,0.385820,0.604294,0.624238,0.470248,0.381316
