0.605090,0.718130,0.227415,0.359644
0.522565,0.393354,0.269144,0.206550
0.713664,0.415418,0.254178,0.664706
0.651706,0.129807,0.126465,0.905009
0.328653,0.703786,0.725612,0.735438
0.448845,0.308226,0.731833,0.442718
0.644281,0.493164,0.942527,0.802467
0.333464,0.691549,0.575346,0.944367
0.374848,0.474317,0.604367,0.104567
0.811580,0.614643,0.555325,0.653128
0.207553,0.580768,0.423129,0.770751
0.777517,0.424804,0.191272,0.344087
0.507606,0.419879,0.620028,0.213204
0.377752,0.607764,0.690314,0.375788
0.241812,0.772915,0.572498,0.762948
0.735882,0.700987,0.262370,0.782047
