0.543901,0.401717,0.652019,0.230040,0.564869
0.825850,0.381328,0.263690,0.329530,0.736294
0.447134,0.655257,0.120391,0.474817,0.631152
0.562559,0.639354,0.684885,0.515883,0.554023
0.482991,0.460281,0.498836,0.507990,0.716263
0.490635,0.375530,0.391246,0.391457,0.574554
0.420584,0.262276,0.432568,0.665634,0.382980
0.778522,0.531886,0.380357,0.463375,0.857122
0.548104,0.643586,0.808377,0.236689,0.549928
0.779995,0.390237,0.924391,0.485415,0.396740
0.349687,0.364875,0.442556,0.353024,0.587559
0.473132,0.387318,0.762759,0.558335,0.786988
0.552654,0.520484,0.923717,0.773906,0.749828
0.519273,0.507918,0.846394,0.771987,0.211607
0.445922,0.658498,0.618353,0.789887,0.556592
0.521635,0.575681,0.712891,0.831764,0.798171
0.463481,0.607840,0.430893,0.539093,0.532905
0.590406,0.553001,0.721265,0.124581,0.131582
0.671492,0.487095,0.248448,0.413406,0.783625
0.363871,0.791707,0.572658,0.225930,0.793335
0.397947,0.723458,0.699693,0.398832,0.562595
0.419329,0.540409,0.388472,0.327455,0.260308
0.290453,0.518348,0.693124,0.629682,0.455160
0.871290,0.281175,0.144565,0.814594,0.448739
0.327301,0.379116,0.938291,0.379753,0.244450
0.588698,0.521883,0.619480,0.339018,0.650193
0.240166,0.825023,0.347226,0.686468,0.789641
0.626497,0.816305,0.770102,0.430437,0.703551
0.161935,0.439373,0.622807,0.517679,0.643214
0.470765,0.399782,0.872733,0.372346,0.566595
0.613956,0.506969,0.385726,0.638724,0.359527
0.406906,0.840393,0.380951,0.635645,0.357167
