0.484051,0.466153,0.378014,0.342835
0.762085,0.633059,0.626834,0.487918
0.368419,0.444195,0.495355,0.606918
0.887824,0.645184,0.192494,0.939047
0.195231,0.602205,0.612576,0.299320
0.805030,0.679478,0.745546,0.683210
0.246731,0.415056,0.387549,0.418846
0.819693,0.585131,0.639720,0.531743
0.501641,0.354536,0.486090,0.545354
0.787669,0.385081,0.353214,0.435531
0.691946,0.802011,0.679515,0.445487
0.783978,0.542936,0.609650,0.257291
0.551712,0.669338,0.438662,0.278040
0.709970,0.865815,0.761140,0.593522
0.679122,0.668096,0.800664,0.421462
0.369501,0.479304,0.560121,0.609513
